time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-11-11 00:00:00+00:00,8,3,29,8
2025-11-12 00:00:00+00:00,5,5,1,1
2025-11-13 00:00:00+00:00,5,5,1,1
2025-11-14 00:00:00+00:00,3,3,1,1
2025-11-15 00:00:00+00:00,3,3,6,6
2025-11-16 00:00:00+00:00,2,2,10,1
2025-11-17 00:00:00+00:00,2,2,19,2
2025-11-18 00:00:00+00:00,4,4,21,2
2025-11-19 00:00:00+00:00,2,2,3,2
2025-11-20 00:00:00+00:00,3,3,6,2
2025-11-21 00:00:00+00:00,2,2,4,2
2025-11-22 00:00:00+00:00,5,5,16,8
2025-11-23 00:00:00+00:00,2,2,2,1
